year,Team,GP,W,L,T,OTL,SOL,Pts,GF,GA,PIM,Att.,Coach,Playoff Results
2000,Vancouver Canucks,82,36,28,11,7,0,90,239,238,1113,"17,026",Marc Crawford,Lost in round 1
2000,Calgary Flames,82,27,36,15,4,0,73,197,236,1376,"16,622","Hay, Gilbert {+}",Out of Playoffs
2000,Minnesota Wild,82,25,39,13,5,0,68,168,210,1200,"18,328",Jacques Lemaire,Out of Playoffs
2000,Dallas Stars,82,48,24,8,2,0,106,241,187,1041,"17,001",Ken Hitchcock,Lost in round 2
2000,San Jose Sharks,82,40,27,12,3,0,95,217,192,1364,"17,468",Darryl Sutter,Lost in round 1
2000,Los Angeles Kings,82,38,28,13,3,0,92,252,228,1196,"16,057",Andy Murray,Lost in round 2
2000,Phoenix Coyotes,82,35,27,17,3,0,90,214,212,1337,"14,224",Bob Francis,Out of Playoffs
2000,Anaheim Mighty Ducks,82,25,41,11,5,0,66,188,245,1136,"13,499","Hartsburg, Charron {+}",Out of Playoffs
2000,Washington Capitals,82,41,27,10,4,0,96,233,211,1141,"15,534",Ron Wilson,Lost in round 1
2000,Carolina Hurricanes,82,38,32,9,3,0,88,212,225,1083,"13,355",Paul Maurice,Lost in round 1
2000,Florida Panthers,82,22,38,13,9,0,66,200,246,1509,"14,679","Murray, Sutter {+}",Out of Playoffs
2000,Atlanta Thrashers,82,23,45,12,2,0,60,211,289,1500,"15,262",Curt Fraser,Out of Playoffs
2000,Tampa Bay Lightning,82,24,47,6,5,0,59,201,280,1404,"14,906","Ludzik, Tortorella {+}",Out of Playoffs
2001,Philadelphia Flyers,82,42,27,10,3,0,97,234,192,1242,"19,569",Bill Barber,Lost in round 1
2001,New York Islanders,82,42,28,8,4,0,96,239,220,1255,"14,548",Peter Laviolette,Lost in round 1
2001,New Jersey Devils,82,41,28,9,4,0,95,205,187,1010,"15,925","Robinson, Constantine {+}",Lost in round 1
2001,New York Rangers,82,36,38,4,4,0,80,227,258,1753,"18,038",Ron Low,Out of Playoffs
2001,Pittsburgh Penguins,82,28,41,8,5,0,69,198,249,1248,"15,649","Hlinka, Kehoe {+}",Out of Playoffs
2001,Detroit Red Wings,82,51,17,10,4,0,116,251,187,1053,"20,058","William ""Scotty"" Bowman",Won Championship
2001,St. Louis Blues,82,43,27,8,4,0,98,227,188,1343,"18,968",Joel Quenneville,Lost in round 2
2001,Chicago Blackhawks,82,41,27,13,1,0,96,216,207,1234,"15,568",Brian Sutter,Lost in round 1
2001,Nashville Predators,82,28,41,13,0,0,69,196,230,1071,"14,788",Barry Trotz,Out of Playoffs
2001,Columbus Blue Jackets,82,22,47,8,5,0,57,164,255,1198,"18,136",Dave King,Out of Playoffs
2001,Boston Bruins,82,43,24,6,9,0,101,236,201,1454,"15,403",Robbie Ftorek,Lost in round 1
2001,Toronto Maple Leafs,82,43,25,10,4,0,100,249,207,1212,"19,279",Pat Quinn,Lost in round 3
2001,Ottawa Senators,82,39,27,9,7,0,94,243,208,1347,"16,919","Neilson, Martin {+}",Lost in round 2
2001,Montreal Canadiens,82,36,31,12,3,0,87,207,209,974,"20,027",Michel Therrien,Lost in round 2
2001,Buffalo Sabres,82,35,35,11,1,0,82,213,200,1217,"17,206",Lindy Ruff,Out of Playoffs
2001,Colorado Avalanche,82,45,28,8,1,0,99,212,169,1007,"18,007",Bob Hartley,Lost in round 3
2001,Vancouver Canucks,82,42,30,7,3,0,94,254,211,1342,"17,712",Marc Crawford,Lost in round 1
2001,Edmonton Oilers,82,38,28,12,4,0,92,205,182,1267,"16,592",Craig MacTavish,Out of Playoffs
2001,Calgary Flames,82,32,35,12,3,0,79,201,220,1586,"15,718",Greg Gilbert,Out of Playoffs
2001,Minnesota Wild,82,26,35,12,9,0,73,195,238,1209,"18,455",Jacques Lemaire,Out of Playoffs
2001,San Jose Sharks,82,44,27,8,3,0,99,248,199,1249,"17,422",Darryl Sutter,Lost in round 2
2001,Los Angeles Kings,82,40,27,11,4,0,95,214,190,1348,"16,756",Andy Murray,Lost in round 1
2001,Phoenix Coyotes,82,40,27,9,6,0,95,228,210,1154,"13,165",Bob Francis,Lost in round 1
2001,Dallas Stars,82,36,28,13,5,0,90,215,213,959,"18,532","Hitchcock, Wilson {+}",Out of Playoffs
2001,Anaheim Mighty Ducks,82,29,42,8,3,0,69,175,198,1254,"12,002",Bryan Murray,Out of Playoffs
2001,Carolina Hurricanes,82,35,26,16,5,0,91,217,217,1022,"15,508",Paul Maurice,Lost in Finals
2001,Washington Capitals,82,36,33,11,2,0,85,228,240,1043,"17,341",Ron Wilson,Out of Playoffs
2001,Tampa Bay Lightning,82,27,40,11,4,0,69,178,219,1072,"15,722",John Tortorella,Out of Playoffs
2001,Florida Panthers,82,22,44,10,6,0,60,180,250,1994,"16,074","Sutter, Keenan {+}",Out of Playoffs
2001,Atlanta Thrashers,82,19,47,11,5,0,54,187,288,1290,"13,668",Curt Fraser,Out of Playoffs
2002,New Jersey Devils,82,46,20,10,6,0,108,216,166,938,"14,858",Pat Burns,Won Championship
2002,Philadelphia Flyers,82,45,20,13,4,0,107,211,166,1003,"19,325",Ken Hitchcock,Lost in round 2
2002,New York Islanders,82,35,34,11,2,0,83,224,231,1244,"14,930",Peter Laviolette,Lost in round 1
2002,New York Rangers,82,32,36,10,4,0,78,210,231,1308,"18,148","Trottier, Sather {+}",Out of Playoffs
2002,Pittsburgh Penguins,82,27,44,6,5,0,65,189,255,1125,"14,750",Rick Kehoe,Out of Playoffs
2002,Detroit Red Wings,82,48,20,10,4,0,110,269,203,1214,"20,058",Dave Lewis,Lost in round 1
2002,St. Louis Blues,82,41,24,11,6,0,99,253,222,1618,"18,570",Joel Quenneville,Lost in round 1
2002,Chicago Blackhawks,82,30,33,13,6,0,79,207,226,1189,"14,794",Brian Sutter,Out of Playoffs
2002,Nashville Predators,82,27,35,13,7,0,74,183,206,969,"13,228",Barry Trotz,Out of Playoffs
2002,Columbus Blue Jackets,82,29,42,8,3,0,69,213,263,1505,"17,744","King, MacLean {+}",Out of Playoffs
2002,Ottawa Senators,82,52,21,8,1,0,113,263,182,1135,"17,198",Jacques Martin,Lost in round 3
2002,Toronto Maple Leafs,82,44,28,7,3,0,98,236,208,1390,"19,240",Pat Quinn,Lost in round 1
2002,Boston Bruins,82,36,31,11,4,0,87,245,237,1370,"15,029","Ftorek, O'Connell {+}",Lost in round 1
2002,Montreal Canadiens,82,30,35,8,9,0,77,206,234,900,"20,672","Therrien, Julien {+}",Out of Playoffs
2002,Buffalo Sabres,82,27,37,10,8,0,72,190,219,1276,"13,776",Lindy Ruff,Out of Playoffs
2002,Colorado Avalanche,82,42,19,13,8,0,105,251,194,1084,"18,007","Hartley, Granato {+}",Lost in round 1
2002,Vancouver Canucks,82,45,23,13,1,0,104,264,208,1178,"18,396",Marc Crawford,Lost in round 2
2002,Minnesota Wild,82,42,29,10,1,0,95,198,178,1063,"18,500",Jacques Lemaire,Lost in round 3
2002,Edmonton Oilers,82,36,26,11,9,0,92,231,230,1203,"16,657",Craig MacTavish,Lost in round 1
2002,Calgary Flames,82,29,36,13,4,0,75,186,228,1391,"16,239","Gilbert, MacNeil, Sutter {+}",Out of Playoffs
2002,Dallas Stars,82,46,17,15,4,0,111,245,169,1166,"18,532",Dave Tippett,Lost in round 2
2002,Anaheim Mighty Ducks,82,40,27,9,6,0,95,203,193,954,"13,988",Mike Babcock,Lost in Finals
2002,Los Angeles Kings,82,33,37,6,6,0,78,203,221,1146,"17,569",Andy Murray,Out of Playoffs
2002,Phoenix Coyotes,82,31,35,11,5,0,78,204,230,1433,"13,229",Bob Francis,Out of Playoffs
2002,San Jose Sharks,82,28,37,9,8,0,73,214,239,1112,"17,350","Sutter, Raeder, Wilson {+}",Out of Playoffs
2002,Tampa Bay Lightning,82,36,25,16,5,0,93,219,210,1079,"16,545",John Tortorella,Lost in round 2
2002,Washington Capitals,82,39,29,8,6,0,92,224,220,1268,"15,787",Bruce Cassidy,Lost in round 1
2002,Atlanta Thrashers,82,31,39,7,5,0,74,226,284,1253,"13,476","Fraser, Waddell, Hartley {+}",Out of Playoffs
2002,Florida Panthers,82,24,36,13,9,0,70,176,237,1127,"15,428",Mike Keenan,Out of Playoffs
2002,Carolina Hurricanes,82,22,43,11,6,0,61,171,240,1208,"15,682",Paul Maurice,Out of Playoffs
2003,Philadelphia Flyers,82,40,21,15,6,0,101,229,186,1357,"19,375",Ken Hitchcock,Lost in round 3
2003,New Jersey Devils,82,43,25,12,2,0,100,213,164,894,"15,059",Pat Burns,Lost in round 1
2003,New York Islanders,82,38,29,11,4,0,91,237,210,1168,"13,693",Steve Stirling,Lost in round 1
2003,New York Rangers,82,27,40,7,8,0,69,206,250,1459,"18,080","Sather, Renney {+}",Out of Playoffs
2003,Pittsburgh Penguins,82,23,47,8,4,0,58,190,303,1270,"11,877",Ed Olczyk,Out of Playoffs
2003,Detroit Red Wings,82,48,21,11,2,0,109,255,189,966,"20,066",Dave Lewis,Lost in round 2
2003,St. Louis Blues,82,39,30,11,2,0,91,191,198,1274,"18,560","Quenneville, Kitchen {+}",Lost in round 1
2003,Nashville Predators,82,38,29,11,4,0,91,216,217,1360,"13,157",Barry Trotz,Lost in round 1
2003,Columbus Blue Jackets,82,25,45,8,4,0,62,177,238,1209,"17,369","MacLean, Gallant {+}",Out of Playoffs
2003,Chicago Blackhawks,82,20,43,11,8,0,59,188,259,1318,"13,253",Brian Sutter,Out of Playoffs
2003,Boston Bruins,82,41,19,15,7,0,104,209,188,1208,"15,133",Mike Sullivan,Lost in round 1
2003,Toronto Maple Leafs,82,45,24,10,3,0,103,242,204,1452,"19,376",Pat Quinn,Lost in round 2
2003,Ottawa Senators,82,43,23,10,6,0,102,262,189,1270,"17,758",Jacques Martin,Lost in round 1
2003,Montreal Canadiens,82,41,30,7,4,0,93,208,192,1039,"20,555",Claude Julien,Lost in round 2
2003,Buffalo Sabres,82,37,34,7,4,0,85,220,221,1289,"15,290",Lindy Ruff,Out of Playoffs
2003,Vancouver Canucks,82,43,24,10,5,0,101,235,194,1274,"18,630",Marc Crawford,Lost in round 1
2003,Colorado Avalanche,82,40,22,13,7,0,100,236,198,1293,"18,007",Tony Granato,Lost in round 2
2003,Calgary Flames,82,42,30,7,3,0,94,200,176,1428,"16,579",Darryl Sutter,Lost in Finals
2003,Edmonton Oilers,82,36,29,12,5,0,89,221,208,1220,"17,677",Craig MacTavish,Out of Playoffs
2003,Minnesota Wild,82,30,29,20,3,0,83,188,183,1035,"18,530",Jacques Lemaire,Out of Playoffs
2003,San Jose Sharks,82,43,21,12,6,0,104,219,183,1091,"15,835",Ron Wilson,Lost in round 3
2003,Dallas Stars,82,41,26,13,2,0,97,194,175,1143,"18,355",Dave Tippett,Lost in round 1
2003,Los Angeles Kings,82,28,29,16,9,0,81,205,217,1163,"17,889",Andy Murray,Out of Playoffs
2003,Anaheim Mighty Ducks,82,29,35,10,8,0,76,184,213,1131,"14,987",Mike Babcock,Out of Playoffs
2003,Phoenix Coyotes,82,22,36,18,6,0,68,188,245,1300,"15,467","Francis, Bowness {+}",Out of Playoffs
2003,Tampa Bay Lightning,82,46,22,8,6,0,106,245,192,985,"17,820",John Tortorella,Won Championship
2003,Atlanta Thrashers,82,33,37,8,4,0,78,214,243,1505,"15,121",Bob Hartley,Out of Playoffs
2003,Carolina Hurricanes,82,28,34,14,6,0,76,172,209,1102,"12,330","Maurice, Laviolette {+}",Out of Playoffs
2003,Florida Panthers,82,28,35,15,4,0,75,188,221,1192,"15,936","Keenan, Dudley, Torchetti {+}",Out of Playoffs
2003,Washington Capitals,82,23,46,10,3,0,59,186,253,1282,"14,720","Cassidy, Hanlon {+}",Out of Playoffs
2005,New Jersey Devils,82,46,27,0,5,4,101,242,229,948,"14,230","Robinson, Lamoriello {+}",Lost in round 2
2005,Philadelphia Flyers,82,45,26,0,5,6,101,267,259,1201,"19,653",Ken Hitchcock,Lost in round 1
2005,New York Rangers,82,44,26,0,8,4,100,257,215,1194,"18,142",Tom Renney,Lost in round 1
2005,New York Islanders,82,36,40,0,3,3,78,230,278,1266,"12,609","Stirling, Shaw {+}",Out of Playoffs
2005,Pittsburgh Penguins,82,22,46,0,8,6,58,244,316,1559,"15,804","Olczyk, Therrien {+}",Out of Playoffs
2005,Detroit Red Wings,82,58,16,0,5,3,124,305,209,1117,"20,064",Mike Babcock,Lost in round 1
2005,Nashville Predators,82,49,25,0,5,3,106,259,227,1533,"14,428",Barry Trotz,Lost in round 1
2005,Columbus Blue Jackets,82,35,43,0,1,3,74,223,279,1416,"16,796",Gerard Gallant,Out of Playoffs
2005,Chicago Blackhawks,82,26,43,0,7,6,65,211,285,1544,"13,318",Trent Yawney,Out of Playoffs
2005,St. Louis Blues,82,21,46,0,7,8,57,197,292,1373,"14,213",Mike Kitchen,Out of Playoffs
2005,Ottawa Senators,82,52,21,0,3,6,113,314,211,1462,"19,474",Bryan Murray,Lost in round 2
2005,Buffalo Sabres,82,52,24,0,1,5,110,281,239,1164,"16,886",Lindy Ruff,Lost in round 3
2005,Montreal Canadiens,82,42,31,0,6,3,93,243,247,1336,"21,273","Julien, Gainey {+}",Lost in round 1
2005,Toronto Maple Leafs,82,41,33,0,1,7,90,257,270,1398,"19,408",Pat Quinn,Out of Playoffs
2005,Boston Bruins,82,29,37,0,8,8,74,230,266,1174,"16,211",Mike Sullivan,Out of Playoffs
2005,Calgary Flames,82,46,25,0,4,7,103,218,200,1482,"19,289",Darryl Sutter,Lost in round 1
2005,Edmonton Oilers,82,41,28,0,4,9,95,256,251,1204,"16,832",Craig MacTavish,Lost in Finals
2005,Colorado Avalanche,82,43,30,0,3,6,95,283,257,1178,"18,007",Joel Quenneville,Lost in round 2
2005,Vancouver Canucks,82,42,32,0,4,4,92,256,255,1477,"18,630",Marc Crawford,Out of Playoffs
2005,Minnesota Wild,82,38,36,0,5,3,84,231,215,1209,"18,575",Jacques Lemaire,Out of Playoffs
2005,Dallas Stars,82,53,23,0,5,1,112,265,218,1496,"17,828",Dave Tippett,Lost in round 1
2005,San Jose Sharks,82,44,27,0,4,7,99,266,242,1058,"16,831",Ron Wilson,Lost in round 2
2005,Anaheim Mighty Ducks,82,43,27,0,5,7,98,254,229,1459,"15,131",Randy Carlyle,Lost in round 3
2005,Los Angeles Kings,82,42,35,0,4,1,89,249,270,1474,"17,839","Murray, Torchetti {+}",Out of Playoffs
2005,Phoenix Coyotes,82,38,39,0,2,3,81,246,271,1511,"15,582",Wayne Gretzky,Out of Playoffs
2005,Carolina Hurricanes,82,52,22,0,6,2,112,294,260,1125,"15,596",Peter Laviolette,Won Championship
2005,Tampa Bay Lightning,82,43,33,0,2,4,92,252,260,959,"20,509",John Tortorella,Lost in round 1
2005,Atlanta Thrashers,82,41,33,0,3,5,90,281,275,1344,"15,550",Bob Hartley,Out of Playoffs
2005,Florida Panthers,82,37,34,0,6,5,85,240,257,1279,"16,014",Jacques Martin,Out of Playoffs
2005,Washington Capitals,82,29,41,0,6,6,70,237,306,1499,"13,905",Glen Hanlon,Out of Playoffs
2006,New Jersey Devils,82,49,24,0,1,8,107,216,201,830,"14,176",Claude Julien,Lost in round 2
2006,Pittsburgh Penguins,82,47,24,0,5,6,105,277,246,1249,"16,424",Michel Therrien,Lost in round 1
2006,New York Rangers,82,42,30,0,5,5,94,242,216,1109,"18,200",Tom Renney,Lost in round 2
2006,New York Islanders,82,40,30,0,7,5,92,248,240,1062,"12,886",Ted Nolan,Lost in round 1
2006,Philadelphia Flyers,82,22,48,0,6,6,56,214,303,1301,"19,282","Hitchcock, Stevens {+}",Out of Playoffs
2006,Detroit Red Wings,82,50,19,0,5,8,113,254,199,982,"20,066",Mike Babcock,Lost in round 3
2006,Nashville Predators,82,51,23,0,3,5,110,272,212,1179,"15,259",Barry Trotz,Lost in round 1
2006,St. Louis Blues,82,34,35,0,7,6,81,214,254,1223,"12,520","Kitchen, Murray {+}",Out of Playoffs
2006,Columbus Blue Jackets,82,33,42,0,2,5,73,201,249,1357,"16,401","Gallant, Agnew, Hitchcock {+}",Out of Playoffs
2006,Chicago Blackhawks,82,31,42,0,2,7,71,201,258,1332,"12,727","Yawney, Savard {+}",Out of Playoffs
2006,Buffalo Sabres,82,53,22,0,3,4,113,308,242,1200,"18,690",Lindy Ruff,Lost in round 3
2006,Ottawa Senators,82,48,25,0,3,6,105,288,222,1173,"19,372",Bryan Murray,Lost in Finals
2006,Toronto Maple Leafs,82,40,31,0,4,7,91,258,269,1139,"19,487",Paul Maurice,Out of Playoffs
2006,Montreal Canadiens,82,42,34,0,1,5,90,245,256,1133,"21,273",Guy Carbonneau,Out of Playoffs
2006,Boston Bruins,82,35,41,0,2,4,76,219,289,1256,"14,764",Dave Lewis,Out of Playoffs
2006,Vancouver Canucks,82,49,26,0,3,4,105,222,201,1206,"18,630",Alain Vigneault,Lost in round 2
2006,Minnesota Wild,82,48,26,0,1,7,104,235,191,862,"18,543",Jacques Lemaire,Lost in round 1
2006,Calgary Flames,82,43,29,0,5,5,96,258,226,1204,"19,289",Jim Playfair,Lost in round 1
2006,Colorado Avalanche,82,44,31,0,3,4,95,272,251,884,"17,612",Joel Quenneville,Out of Playoffs
2006,Edmonton Oilers,82,32,43,0,4,3,71,195,248,1285,"16,839",Craig MacTavish,Out of Playoffs
2006,Anaheim Ducks,82,48,20,0,4,10,110,258,208,1457,"16,389",Randy Carlyle,Won Championship
2006,San Jose Sharks,82,51,26,0,3,2,107,258,199,955,"17,422",Ron Wilson,Lost in round 2
2006,Dallas Stars,82,50,25,0,3,4,107,226,197,1133,"17,914",Dave Tippett,Lost in round 1
2006,Los Angeles Kings,82,27,41,0,8,6,68,227,283,1239,"16,859",Marc Crawford,Out of Playoffs
2006,Phoenix Coyotes,82,31,46,0,3,2,67,216,284,1445,"14,988",Wayne Gretzky,Out of Playoffs
2006,Atlanta Thrashers,82,43,28,0,7,4,97,246,245,1097,"16,240",Bob Hartley,Lost in round 1
2006,Tampa Bay Lightning,82,44,33,0,3,2,93,253,261,897,"19,876",John Tortorella,Lost in round 1
2006,Carolina Hurricanes,82,40,34,0,3,5,88,241,253,1021,"17,386",Peter Laviolette,Out of Playoffs
2006,Florida Panthers,82,35,31,0,8,8,86,247,257,1181,"15,370",Jacques Martin,Out of Playoffs
2006,Washington Capitals,82,28,40,0,3,11,70,235,286,1233,"13,929",Glen Hanlon,Out of Playoffs
2007,Pittsburgh Penguins,82,47,27,0,4,4,102,247,216,1179,"17,076",Michel Therrien,Lost in Finals
2007,New Jersey Devils,82,46,29,0,3,4,99,206,197,974,"15,564",Brent Sutter,Lost in round 1
2007,New York Rangers,82,42,27,0,4,9,97,213,199,1154,"18,200",Tom Renney,Lost in round 2
2007,Philadelphia Flyers,82,42,29,0,5,6,95,248,233,1471,"19,556",John Stevens,Lost in round 3
2007,New York Islanders,82,35,38,0,6,3,79,194,243,1041,"13,640",Ted Nolan,Out of Playoffs
2007,Detroit Red Wings,82,54,21,0,2,5,115,257,184,937,"18,870",Mike Babcock,Won Championship
2007,Nashville Predators,82,41,32,0,4,5,91,230,229,1027,"14,910",Barry Trotz,Lost in round 1
2007,Chicago Blackhawks,82,40,34,0,4,4,88,239,235,1383,"16,814",Denis Savard,Out of Playoffs
2007,Columbus Blue Jackets,82,34,36,0,4,8,80,193,218,1325,"14,823",Ken Hitchcock,Out of Playoffs
2007,St. Louis Blues,82,33,36,0,8,5,79,205,237,1153,"17,610",Andy Murray,Out of Playoffs
2007,Montreal Canadiens,82,47,25,0,4,6,104,262,222,1090,"21,273",Guy Carbonneau,Lost in round 2
2007,Ottawa Senators,82,43,31,0,3,5,94,261,247,1175,"19,821","Paddock, Murray {+}",Lost in round 1
2007,Boston Bruins,82,41,29,0,5,7,94,212,222,1069,"15,384",Claude Julien,Lost in round 1
2007,Buffalo Sabres,82,39,31,0,3,9,90,255,242,1004,"19,950",Lindy Ruff,Out of Playoffs
2007,Toronto Maple Leafs,82,36,35,0,7,4,83,231,260,1087,"19,434",Paul Maurice,Out of Playoffs
2007,Minnesota Wild,82,44,28,0,2,8,98,223,218,1098,"18,568",Jacques Lemaire,Lost in round 1
2007,Colorado Avalanche,82,44,31,0,4,3,95,231,219,995,"16,842",Joel Quenneville,Lost in round 2
2007,Calgary Flames,82,42,30,0,7,3,94,229,227,1342,"19,289",Mike Keenan,Lost in round 1
2007,Vancouver Canucks,82,39,33,0,1,9,88,213,215,1474,"18,630",Alain Vigneault,Out of Playoffs
2007,Edmonton Oilers,82,41,35,0,2,4,88,235,251,1175,"16,839",Craig MacTavish,Out of Playoffs
2007,San Jose Sharks,82,49,23,0,4,6,108,222,193,1075,"17,411",Ron Wilson,Lost in round 2
2007,Anaheim Ducks,82,47,27,0,1,7,102,205,191,1481,"17,193",Randy Carlyle,Lost in round 1
2007,Dallas Stars,82,45,30,0,4,3,97,242,207,1176,"18,038",Dave Tippett,Lost in round 3
2007,Phoenix Coyotes,82,38,37,0,1,6,83,214,231,1193,"14,820",Wayne Gretzky,Out of Playoffs
2007,Los Angeles Kings,82,32,43,0,4,3,71,231,266,954,"16,606",Marc Crawford,Out of Playoffs
2007,Washington Capitals,82,43,31,0,4,4,94,242,231,975,"15,472","Hanlon, Boudreau {+}",Lost in round 1
2007,Carolina Hurricanes,82,43,33,0,3,3,92,252,249,1183,"16,633",Peter Laviolette,Out of Playoffs
2007,Florida Panthers,82,38,35,0,3,6,85,216,226,1026,"15,436",Jacques Martin,Out of Playoffs
2007,Atlanta Thrashers,82,34,40,0,2,6,76,216,272,1077,"15,831","Hartley, Waddell {+}",Out of Playoffs
2007,Tampa Bay Lightning,82,31,42,0,8,1,71,223,267,1040,"18,692",John Tortorella,Out of Playoffs
2008,New Jersey Devils,82,51,27,0,2,2,106,244,209,1058,"15,790",Brent Sutter,Lost in round 1
2008,Pittsburgh Penguins,82,45,28,0,3,6,99,264,239,1114,"16,975","Therrien, Bylsma {+}",Won Championship
2008,Philadelphia Flyers,82,44,27,0,5,6,99,264,238,1434,"19,545",John Stevens,Lost in round 1
2008,New York Rangers,82,43,30,0,3,6,95,210,218,1199,"18,172","Renney, Tortorella {+}",Lost in round 1
2008,New York Islanders,82,26,47,0,4,5,61,201,279,1216,"13,773",Scott Gordon,Out of Playoffs
2008,Detroit Red Wings,82,51,21,0,6,4,112,295,244,824,"19,865",Mike Babcock,Lost in Finals
2008,Chicago Blackhawks,82,46,24,0,5,7,104,264,216,1157,"22,247","Savard, Quenneville {+}",Lost in round 3
2008,St. Louis Blues,82,41,31,0,4,6,92,233,233,1248,"18,554",Andy Murray,Lost in round 1
2008,Columbus Blue Jackets,82,41,31,0,3,7,92,226,230,1227,"15,543",Ken Hitchcock,Lost in round 1
2008,Nashville Predators,82,40,34,0,3,5,88,213,233,994,"15,010",Barry Trotz,Out of Playoffs
2008,Boston Bruins,82,53,19,0,4,6,116,274,196,1028,"17,039",Claude Julien,Lost in round 2
2008,Montreal Canadiens,82,41,30,0,4,7,93,249,247,1229,"21,273","Carbonneau, Gainey {+}",Lost in round 1
2008,Buffalo Sabres,82,41,32,0,4,5,91,250,234,1121,"18,531",Lindy Ruff,Out of Playoffs
2008,Ottawa Senators,82,36,35,0,5,6,83,217,237,1098,"18,949","Hartsburg, Clouston {+}",Out of Playoffs
2008,Toronto Maple Leafs,82,34,35,0,6,7,81,250,293,1125,"19,312",Ron Wilson,Out of Playoffs
2008,Vancouver Canucks,82,45,27,0,3,7,100,246,220,1351,"18,630",Alain Vigneault,Lost in round 2
2008,Calgary Flames,82,46,30,0,4,2,98,254,248,1299,"19,289",Mike Keenan,Lost in round 1
2008,Minnesota Wild,82,40,33,0,6,3,89,219,200,889,"18,568",Jacques Lemaire,Out of Playoffs
2008,Edmonton Oilers,82,38,35,0,5,4,85,234,248,1247,"16,839",Craig MacTavish,Out of Playoffs
2008,Colorado Avalanche,82,32,45,0,1,4,69,199,257,1062,"15,429",Tony Granato,Out of Playoffs
2008,San Jose Sharks,82,53,18,0,6,5,117,257,204,1053,"17,488",Todd McLellan,Lost in round 1
2008,Anaheim Ducks,82,42,33,0,4,3,91,245,238,1426,"16,990",Randy Carlyle,Lost in round 2
2008,Dallas Stars,82,36,35,0,5,6,83,230,257,1144,"17,680",Dave Tippett,Out of Playoffs
2008,Los Angeles Kings,82,34,37,0,3,8,79,207,234,1207,"16,488",Terry Murray,Out of Playoffs
2008,Phoenix Coyotes,82,36,39,0,4,3,79,208,252,1092,"14,875",Wayne Gretzky,Out of Playoffs
2008,Washington Capitals,82,50,24,0,3,5,108,272,245,1041,"18,097",Bruce Boudreau,Lost in round 2
2008,Carolina Hurricanes,82,45,30,0,2,5,97,239,226,802,"16,572","Laviolette, Maurice {+}",Lost in round 3
2008,Florida Panthers,82,41,30,0,3,8,93,234,231,900,"15,621",Peter DeBoer,Out of Playoffs
2008,Atlanta Thrashers,82,35,41,0,5,1,76,257,280,1256,"14,626",John Anderson,Out of Playoffs
2008,Tampa Bay Lightning,82,24,40,0,8,10,66,210,279,1306,"16,497","Melrose, Tocchet {+}",Out of Playoffs
2009,New Jersey Devils,82,48,27,0,2,5,103,222,191,859,"15,535",Jacques Lemaire,Lost in round 1
2009,Pittsburgh Penguins,82,47,28,0,5,2,101,257,237,1195,"17,078",Dan Bylsma,Lost in round 2
2009,Philadelphia Flyers,82,41,35,0,3,3,88,236,225,1362,"19,535","Stevens, Laviolette {+}",Lost in Finals
2009,New York Rangers,82,38,33,0,7,4,87,222,218,1159,"18,076",John Tortorella,Out of Playoffs
2009,New York Islanders,82,34,37,0,5,6,79,222,264,950,"12,735",Scott Gordon,Out of Playoffs
2009,Chicago Blackhawks,82,52,22,0,2,6,112,271,209,924,"21,356",Joel Quenneville,Won Championship
2009,Detroit Red Wings,82,44,24,0,5,9,102,229,216,723,"19,546",Mike Babcock,Lost in round 2
2009,Nashville Predators,82,47,29,0,2,4,100,225,225,710,"14,979",Barry Trotz,Lost in round 1
2009,St. Louis Blues,82,40,32,0,5,5,90,225,223,1318,"18,883","Murray, Payne {+}",Out of Playoffs
2009,Columbus Blue Jackets,82,32,35,0,5,10,79,216,259,1086,"15,416","Hitchcock, Noel {+}",Out of Playoffs
2009,Buffalo Sabres,82,45,27,0,4,6,100,235,207,918,"18,529",Lindy Ruff,Lost in round 1
2009,Ottawa Senators,82,44,32,0,1,5,94,225,238,1141,"18,269",Cory Clouston,Lost in round 1
2009,Boston Bruins,82,39,30,0,4,9,91,206,200,953,"17,388",Claude Julien,Lost in round 2
2009,Montreal Canadiens,82,39,33,0,5,5,88,217,223,936,"21,273",Jacques Martin,Lost in round 3
2009,Toronto Maple Leafs,82,30,38,0,10,4,74,214,267,1091,"19,260",Ron Wilson,Out of Playoffs
2009,Vancouver Canucks,82,49,28,0,1,4,103,272,222,1269,"18,810",Alain Vigneault,Lost in round 2
2009,Colorado Avalanche,82,43,30,0,4,5,95,244,233,1027,"13,947",Joe Sacco,Lost in round 1
2009,Calgary Flames,82,40,32,0,3,7,90,204,210,1143,"19,289",Brent Sutter,Out of Playoffs
2009,Minnesota Wild,82,38,36,0,1,7,84,219,246,924,"18,415",Todd Richards,Out of Playoffs
2009,Edmonton Oilers,82,27,47,0,2,6,62,214,284,1133,"16,839",Pat Quinn,Out of Playoffs
2009,San Jose Sharks,82,51,20,0,5,6,113,264,215,1155,"17,558",Todd McLellan,Lost in round 3
2009,Phoenix Coyotes,82,50,25,0,1,6,107,225,202,925,"11,989",Dave Tippett,Lost in round 1
2009,Los Angeles Kings,82,46,27,0,1,8,101,241,219,979,"17,313",Terry Murray,Lost in round 1
2009,Anaheim Ducks,82,39,32,0,3,8,89,238,251,1321,"15,168",Randy Carlyle,Out of Playoffs
